# source, target, label, movie_id, weight
0,41,66951,316,1
0,73,66949,316,1
0,35,66930,316,1
0,39,66941,316,1
0,40,66936,316,1
0,88,66945,316,1
1,35,67063,316,1
2,35,66925,316,3
2,48,67037,316,1
2,57,67036,316,1
2,62,67029,316,1
2,74,66924,316,1
3,35,66919,316,2
3,41,67049,316,1
3,48,66920,316,1
3,84,66916,316,1
4,15,66799,316,1
4,65,66800,316,1
4,85,66801,316,1
4,27,66791,316,1
4,35,66795,316,1
5,34,66764,316,1
5,35,66765,316,1
5,20,66761,316,1
6,33,67090,316,1
6,36,67091,316,1
6,35,67080,316,1
6,41,67075,316,1
6,46,67087,316,1
6,49,67084,316,1
7,9,66773,316,1
7,35,66770,316,1
7,41,66776,316,1
7,90,66775,316,1
8,35,66959,316,1
8,41,66966,316,1
8,58,66968,316,1
8,80,66963,316,1
8,89,66969,316,1
9,41,66772,316,1
9,90,66771,316,1
9,35,66691,316,2
10,48,66988,316,1
10,35,66986,316,1
11,41,66750,316,1
11,70,66748,316,1
12,13,66713,316,2
12,14,66714,316,2
12,35,66715,316,2
12,41,66726,316,1
12,83,66727,316,1
13,14,66716,316,2
13,35,66717,316,2
13,41,66730,316,1
13,83,66731,316,1
14,35,66718,316,2
14,41,66733,316,1
14,83,66734,316,1
15,21,66900,316,1
15,51,66902,316,1
15,65,66802,316,1
15,82,66862,316,2
15,84,66899,316,1
15,86,66901,316,1
15,27,66792,316,1
15,35,66788,316,6
15,48,66892,316,1
15,85,66855,316,2
16,35,66712,316,1
16,62,66711,316,1
17,23,66981,316,1
17,43,66982,316,1
17,35,66977,316,2
18,41,67053,316,1
19,35,67009,316,1
19,48,67008,316,1
19,24,66992,316,1
19,45,66998,316,2
20,34,66762,316,1
20,35,66763,316,1
20,38,66755,316,1
21,51,66911,316,1
21,86,66910,316,1
21,35,66889,316,1
21,48,66895,316,1
21,82,66904,316,1
21,84,66907,316,1
21,85,66882,316,1
22,35,66785,316,1
22,62,66786,316,1
23,43,66983,316,1
23,35,66979,316,1
24,35,66990,316,2
24,45,66991,316,1
24,48,66989,316,1
25,35,66780,316,1
25,41,66779,316,1
26,35,67042,316,1
26,62,67040,316,1
27,35,66790,316,1
27,65,66793,316,1
27,85,66794,316,1
28,35,66852,316,1
28,41,66851,316,1
29,35,66758,316,1
29,44,66757,316,1
30,35,67033,316,4
30,51,67034,316,1
31,62,66709,316,1
31,35,66706,316,2
32,41,66815,316,1
32,52,66819,316,1
32,53,66816,316,1
32,54,66817,316,1
32,55,66818,316,1
